station,lon,lat,disp,year,Amplitude,Peak_DoY,Min_DoY,Time_MintoPeak
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2021,13.521298834907606,333,116,217
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2022,10.708199436384888,18,171,153
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2008,12.728266703626165,234,122,112
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2009,8.554876206315974,237,189,48
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2010,7.837362541579436,307,181,126
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2011,11.397732780994655,298,168,130
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2012,11.925696464210944,284,166,118
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2016,11.383879742105032,59,119,60
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2017,13.137489244794843,55,179,124
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2018,11.669369300028709,33,170,137
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2021,8.795069381382309,16,189,173
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2022,9.02227469872896,22,171,149
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2023,12.63222791877126,0,174,174
KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,2024,9.305914883782961,1,172,171
QAQ1,"37   -46.047761
Name: longitude, dtype: float64","37    60.715264
Name: latitude, dtype: float64",Vertical,2002,8.86136490006249,300,113,187
QAQ1,"37   -46.047761
Name: longitude, dtype: float64","37    60.715264
Name: latitude, dtype: float64",Vertical,2004,10.907351484307144,350,130,220
QAQ1,"37   -46.047761
Name: longitude, dtype: float64","37    60.715264
Name: latitude, dtype: float64",Vertical,2006,7.439064389691586,360,143,217
QAQ1,"37   -46.047761
Name: longitude, dtype: float64","37    60.715264
Name: latitude, dtype: float64",Vertical,2007,7.11966917362229,244,157,87
QAQ1,"37   -46.047761
Name: longitude, dtype: float64","37    60.715264
Name: latitude, dtype: float64",Vertical,2008,11.411218141727526,234,107,127
QAQ1,"37   -46.047761
Name: longitude, dtype: float64","37    60.715264
Name: latitude, dtype: float64",Vertical,2010,14.467037298973011,357,164,193
